Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999,Season
15,Ryan Getzlaf,22,ANA,C,77,24,58,82,32,94,10.5,19,4,1,2,26,32,0,185,13,1513,19:39,46,126,545,607,47.3,getzlry01,2008
16,Dany Heatley,27,OTT,LW,71,41,41,82,33,76,11.6,28,13,0,8,29,12,0,224,18.3,1543,21:44,31,58,15,11,57.7,heatlda01,2008
17,Eric Staal,23,CAR,C,82,38,44,82,-2,50,9.4,24,14,0,7,23,21,0,310,12.3,1774,21:38,33,99,767,941,44.9,staaler01,2008
18,Derek Roy,24,BUF,C,78,32,49,81,13,46,9.5,23,6,3,4,30,17,2,218,14.7,1636,20:58,48,35,700,673,51,royde01,2008
19,Jason Pominville,25,BUF,RW,82,27,53,80,16,20,8.9,24,2,1,1,26,25,2,232,11.6,1637,19:58,37,30,24,42,36.4,pominja01,2008
20,Shane Doan,31,PHX,RW,80,28,50,78,4,59,9,17,9,2,5,25,18,7,243,11.5,1661,20:46,17,158,77,110,41.2,doansh01,2008
1,Sidney Crosby,19,PIT,C,79,36,84,120,10,60,13.3,23,13,0,4,36,48,0,250,14.4,1640,20:46,,,,,,crosbsi01,2007
2,Joe Thornton,27,SJS,C,82,22,92,114,24,44,12.2,12,10,0,5,48,44,0,213,10.3,1666,20:19,,,,,,thornjo01,2007
3,Vincent Lecavalier,26,TBL,C,82,52,56,108,2,44,13.4,31,16,5,7,32,20,4,339,15.3,1854,22:36,,,,,,lecavvi01,2007
4,Dany Heatley,26,OTT,RW,82,50,55,105,31,74,13.4,30,17,3,10,32,22,1,310,16.1,1725,21:02,,,,,,heatlda01,2007
5,Martin St. Louis*,31,TBL,RW,82,43,59,102,7,28,11.8,24,14,5,7,37,16,6,273,15.8,1981,24:09:00,,,,,,stlouma01,2007
6,Marián Hossa*,28,ATL,RW,82,43,57,100,18,49,12.4,23,17,3,5,29,27,1,340,12.6,1778,21:41,,,,,,hossama01,2007
7,Joe Sakic*,37,COL,C,82,36,64,100,2,46,10.8,20,16,0,4,37,27,0,258,14,1655,20:11,,,,,,sakicjo01,2007
8,Jaromír Jágr,34,NYR,RW,82,30,66,96,26,78,11,23,7,0,5,32,34,0,324,9.3,1784,21:46,,,,,,jagrja01,2007
9,Marc Savard,29,BOS,C,82,22,74,96,-19,96,8.7,11,10,1,3,35,39,0,221,10,1658,20:13,,,,,,savarma01,2007
10,Daniel Brière,29,BUF,C,81,32,63,95,17,89,10,23,9,0,6,42,21,0,234,13.7,1564,19:19,,,,,,brierda01,2007
11,Jarome Iginla*,29,CGY,RW,70,39,55,94,12,40,11.1,25,13,1,7,35,20,0,264,14.8,1544,22:04,,,,,,iginlja01,2007
12,Teemu Selänne*,36,ANA,RW,82,48,46,94,26,82,13,23,25,0,10,23,23,0,257,18.7,1451,17:42,,,,,,selante01,2007
13,Alex Ovechkin,21,WSH,LW,82,46,46,92,-19,52,10.5,30,16,0,8,25,21,0,392,11.7,1754,21:23,,,,,,ovechal01,2007
14,Olli Jokinen,28,FLA,C,82,39,52,91,18,78,10.8,29,9,1,8,33,19,0,351,11.1,1684,20:32,,,,,,jokinol01,2007
15,Daniel Alfredsson*,34,OTT,RW,77,29,58,87,42,42,10,20,7,2,7,38,18,2,240,12.1,1661,21:35,,,,,,alfreda01,2007
16,Pavel Datsyuk,28,DET,C,79,27,60,87,36,20,10.5,20,5,2,5,35,24,1,207,13,1577,19:57,,,,,,datsypa01,2007
17,Jason Spezza,23,OTT,C,67,34,53,87,19,45,10.4,20,13,1,5,32,20,1,162,21,1292,19:17,,,,,,spezzja01,2007
18,Evgeni Malkin,20,PIT,LW,78,33,52,85,2,80,9.4,17,16,0,6,28,24,0,242,13.6,1494,19:10,,,,,,malkiev01,2007
19,Daniel Sedin*,26,VAN,LW,81,36,48,84,19,36,10.7,20,16,0,8,30,18,0,236,15.3,1463,18:04,,,,,,sedinda01,2007
20,Thomas Vanek,23,BUF,LW,82,43,41,84,47,40,11.6,28,15,0,5,34,7,0,237,18.1,1376,16:47,,,,,,vanekth01,2007
1,Joe Thornton,26,TOT,C,81,29,96,125,31,61,13.3,18,11,0,6,54,40,2,195,14.9,1728,21:20,,,,,,thornjo01,2006
2,Jaromír Jágr,33,NYR,RW,82,54,69,123,34,72,15.5,30,24,0,9,41,28,0,368,14.7,1810,22:05,,,,,,jagrja01,2006
3,Alex Ovechkin,20,WSH,LW,81,52,54,106,2,52,12.7,28,21,3,5,23,31,0,425,12.2,1751,21:37,,,,,,ovechal01,2006
4,Daniel Alfredsson*,33,OTT,RW,77,43,60,103,29,50,12.3,22,16,5,8,27,32,1,249,17.3,1670,21:41,,,,,,alfreda01,2006
5,Dany Heatley,25,OTT,LW,82,50,53,103,29,86,12.9,25,23,2,7,31,20,2,300,16.7,1734,21:09,,,,,,heatlda01,2006
6,Sidney Crosby,18,PIT,C,81,39,63,102,-1,110,10.5,23,16,0,5,30,31,2,278,14,1630,20:08,,,,,,crosbsi01,2006
7,Eric Staal,21,CAR,C,82,45,55,100,-8,81,11.1,22,19,4,4,34,21,0,279,16.1,1611,19:39,,,,,,staaler01,2006
8,Ilya Kovalchuk,22,ATL,LW,78,52,46,98,-6,68,11.2,25,27,0,7,16,29,1,323,16.1,1731,22:11,,,,,,kovalil01,2006
9,Marc Savard,28,ATL,C,82,28,69,97,7,100,9.3,13,14,1,4,31,36,2,212,13.2,1682,20:30,,,,,,savarma01,2006
10,Jonathan Cheechoo,25,SJS,RW,82,56,37,93,23,58,12.7,30,24,2,11,20,17,0,317,17.7,1637,19:57,,,,,,cheecjo01,2006
11,Marián Hossa*,27,ATL,RW,80,39,53,92,17,67,10.2,18,14,7,7,27,25,1,341,11.4,1735,21:41,,,,,,hossama01,2006
12,Brad Richards,25,TBL,C,82,23,68,91,0,32,8,12,7,4,0,28,39,1,282,8.2,1866,22:45,,,,,,richabr01,2006
13,Teemu Selänne*,35,MDA,RW,80,40,50,90,28,44,11.4,22,18,0,5,28,22,0,267,15,1424,17:48,,,,,,selante01,2006
14,Jason Spezza,22,OTT,C,68,19,71,90,23,33,9.2,12,7,0,5,37,34,0,156,12.2,1292,19:00,,,,,,spezzja01,2006
15,Brian Gionta,27,NJD,RW,82,48,41,89,18,46,11.4,23,24,1,10,31,10,0,291,16.5,1625,19:49,,,,,,giontbr01,2006
16,Olli Jokinen,27,FLA,C,82,38,51,89,14,88,9.8,23,14,1,9,28,23,0,351,10.8,1680,20:29,,,,,,jokinol01,2006
17,Pavel Datsyuk,27,DET,C,75,28,59,87,26,22,9.8,17,11,0,4,31,28,0,145,19.3,1342,17:53,,,,,,datsypa01,2006
18,Joe Sakic*,36,COL,C,82,32,55,87,10,60,8.9,22,10,0,6,31,24,0,263,12.2,1633,19:55,,,,,,sakicjo01,2006
19,Patrick Marleau,26,SJS,C,82,34,52,86,-12,26,8.5,13,20,1,4,28,24,0,260,13.1,1634,19:56,,,,,,marlepa01,2006
20,Paul Kariya*,31,NSH,LW,82,31,54,85,-6,40,8.4,17,14,0,3,22,32,0,245,12.7,1565,19:05,,,,,,kariypa01,2006
